"Modul","Epic","Jenis","User Story","Divisi","Programmer","Status","Note"
"API","Notifikasi","Add","Notification system (migration, model, API, seeder)","Backend","Fawzan","Done","-"
"Halaman","Teacher","Add","Teacher content endpoint, seeder creates actual text files","Backend","Fadlan","Done","-"
"Halaman","Student","Add","Batch upload endpoint + text content preview API","Backend","Rithma","Done","-"
"Halaman","Student","Fix","Student materials 404 ΓÇö replace firstOrFail with graceful null check","Backend","Ratu","Done","-"
"Projek","Konfigurasi","Add","CORS support for Cloudflare Tunnel domains","Backend","Fawzan","Done","-"
"Halaman","Teacher","Add","Material category system with subtitle support","Backend","Sesheirr","Done","-"
"Halaman","Assignment & Announcement","Fix","Assignments migration FK type mismatch (bigint ΓåÆ uuid)","Backend","Ratu","Done","-"
"Halaman","Student","Fix","Rewrite LmsSeeder with comprehensive demo data","Backend","Yoshi","Done","-"
"Halaman","Student","Fix","Add room to ScheduleResource and eager load in controllers","Backend","Fadlan","Done","-"
"Halaman","Classroom","Refactor","Normalize naming and remove orphan models","Backend","Rithma","Done","-"
"API","Routes","Refactor","Move AuthController to Api namespace and register new routes","Backend","Fawzan","Done","-"
"Halaman","Student","Add","Implement student Assignment and Announcement controllers","Backend","Sesheirr","Done","-"
"Halaman","Teacher","Add","Implement teacher Assignment and Announcement controllers","Backend","Yoshi","Done","-"
"Halaman","Classroom","Add","Add Assignment, AssignmentSubmission, Announcement models and migrations","Backend","Ratu","Done","-"
"Halaman","Student","Fix","Improve migration SQLite compatibility for test environment","Backend","Rithma","Done","-"
"Halaman","Room","Add","Add Room CRUD API controller","Backend","Yoshi","Done","-"
"API","Routes","Revisi","Add API rate limiting throttle to all routes","Backend","Ratu","Done","-"
"Projek","Dokumentasi","Revisi","Update MEMBERS.md with complete team registry","Backend","Sesheirr","Done","-"
"Projek","Dokumentasi","Revisi","Add commit history tracking per member","Backend","Fawzan","Done","-"
"Projek","Dokumentasi","Revisi","Add commit distribution rules for backend team","Backend","Fadlan","Done","-"
"Projek","Dokumentasi","Revisi","Cleanup documentation for LMS-only architecture","Backend","Fadlan","Done","-"
